Date,Close,Date,Close,Date,Close
9/29/2015 16:00,86.7,9/29/2015 16:00,496.07,9/29/2015 16:00,57.82
9/30/2015 16:00,91.06,9/30/2015 16:00,511.89,9/30/2015 16:00,58.97
10/1/2015 16:00,90.68,10/1/2015 16:00,520.72,10/1/2015 16:00,58.87
10/2/2015 16:00,95.5,10/2/2015 16:00,532.54,10/2/2015 16:00,63.2
10/5/2015 16:00,96.71,10/5/2015 16:00,543.68,10/5/2015 16:00,63.93
10/6/2015 16:00,94.98,10/6/2015 16:00,537.48,10/6/2015 16:00,63.92
10/7/2015 16:00,94.7,10/7/2015 16:00,541.94,10/7/2015 16:00,66.28
10/8/2015 16:00,94.35,10/8/2015 16:00,533.16,10/8/2015 16:00,67.7
10/9/2015 16:00,94.03,10/9/2015 16:00,539.8,10/9/2015 16:00,68.71
10/12/2015 16:00,92.55,10/12/2015 16:00,550.19,10/12/2015 16:00,70.3
10/13/2015 16:00,93.39,10/13/2015 16:00,548.9,10/13/2015 16:00,69.68
10/14/2015 16:00,90.88,10/14/2015 16:00,544.83,10/14/2015 16:00,68.54
10/15/2015 16:00,93.66,10/15/2015 16:00,562.44,10/15/2015 16:00,71.78
10/16/2015 16:00,95.72,10/16/2015 16:00,570.76,10/16/2015 16:00,71.99
10/19/2015 16:00,96.49,10/19/2015 16:00,573.15,10/19/2015 16:00,72.65
10/20/2015 16:00,96.61,10/20/2015 16:00,560.88,10/20/2015 16:00,71.79
10/21/2015 16:00,95.34,10/21/2015 16:00,555.77,10/21/2015 16:00,69.48
10/22/2015 16:00,97.48,10/22/2015 16:00,563.91,10/22/2015 16:00,70.99
10/23/2015 16:00,99.05,10/23/2015 16:00,599.03,10/23/2015 16:00,75.62
10/26/2015 16:00,99.6,10/26/2015 16:00,608.61,10/26/2015 16:00,76.35
10/27/2015 16:00,97.34,10/27/2015 16:00,611.01,10/27/2015 16:00,79.44
10/28/2015 16:00,97.15,10/28/2015 16:00,617.1,10/28/2015 16:00,82.35
10/29/2015 16:00,95.24,10/29/2015 16:00,626.55,10/29/2015 16:00,82.22
10/30/2015 16:00,98.37,10/30/2015 16:00,625.9,10/30/2015 16:00,83.83
11/2/2015 16:00,101.97,11/2/2015 16:00,628.35,11/2/2015 16:00,84.35
11/3/2015 16:00,104.23,11/3/2015 16:00,625.31,11/3/2015 16:00,83.44
11/4/2015 16:00,107,11/4/2015 16:00,640.95,11/4/2015 16:00,85.4
11/5/2015 16:00,116.43,11/5/2015 16:00,655.65,11/5/2015 16:00,85.38
11/6/2015 16:00,118.69,11/6/2015 16:00,659.37,11/6/2015 16:00,83.61
11/9/2015 16:00,118.11,11/9/2015 16:00,655.49,11/9/2015 16:00,81.38
11/10/2015 16:00,119.65,11/10/2015 16:00,659.68,11/10/2015 16:00,81.43
11/11/2015 16:00,119.81,11/11/2015 16:00,673.25,11/11/2015 16:00,79.85
11/12/2015 16:00,120.53,11/12/2015 16:00,665.6,11/12/2015 16:00,78.76
11/13/2015 16:00,118.1,11/13/2015 16:00,642.35,11/13/2015 16:00,75.85
11/16/2015 16:00,119.49,11/16/2015 16:00,647.81,11/16/2015 16:00,78.3
11/17/2015 16:00,120.25,11/17/2015 16:00,643.3,11/17/2015 16:00,78.13
11/18/2015 16:00,121,11/18/2015 16:00,663.54,11/18/2015 16:00,77.69
11/19/2015 16:00,120.53,11/19/2015 16:00,661.27,11/19/2015 16:00,77.87
11/20/2015 16:00,121.35,11/20/2015 16:00,668.45,11/20/2015 16:00,79.95
11/23/2015 16:00,125.36,11/23/2015 16:00,678.99,11/23/2015 16:00,81.31
11/24/2015 16:00,124.39,11/24/2015 16:00,671.15,11/24/2015 16:00,80.86
11/25/2015 16:00,126.19,11/25/2015 16:00,675.34,11/25/2015 16:00,81.71
11/27/2015 16:00,125.14,11/27/2015 16:00,673.26,11/27/2015 16:00,81.38
11/30/2015 16:00,123.24,11/30/2015 16:00,664.8,11/30/2015 16:00,84.08
12/1/2015 16:00,125.56,12/1/2015 16:00,679.06,12/1/2015 16:00,84
12/2/2015 16:00,124.52,12/2/2015 16:00,676.01,12/2/2015 16:00,85
12/3/2015 16:00,120.65,12/3/2015 16:00,666.25,12/3/2015 16:00,82.59
12/4/2015 16:00,121.78,12/4/2015 16:00,672.64,12/4/2015 16:00,84.85
12/7/2015 16:00,119.8,12/7/2015 16:00,669.83,12/7/2015 16:00,84.76
12/8/2015 16:00,119.52,12/8/2015 16:00,677.33,12/8/2015 16:00,84.38
12/9/2015 16:00,116.75,12/9/2015 16:00,664.79,12/9/2015 16:00,83.42
12/10/2015 16:00,118.22,12/10/2015 16:00,662.32,12/10/2015 16:00,84.33
12/11/2015 16:00,114.11,12/11/2015 16:00,640.15,12/11/2015 16:00,79.74
12/14/2015 16:00,115.73,12/14/2015 16:00,657.91,12/14/2015 16:00,80.57
12/15/2015 16:00,118.44,12/15/2015 16:00,658.64,12/15/2015 16:00,82.49
12/16/2015 16:00,116.6,12/16/2015 16:00,675.77,12/16/2015 16:00,84.63
12/17/2015 16:00,114.26,12/17/2015 16:00,670.65,12/17/2015 16:00,83.56
12/18/2015 16:00,111.56,12/18/2015 16:00,664.14,12/18/2015 16:00,82.65
12/21/2015 16:00,112.73,12/21/2015 16:00,664.51,12/21/2015 16:00,82.87
12/22/2015 16:00,111.77,12/22/2015 16:00,663.15,12/22/2015 16:00,84.84
12/23/2015 16:00,113.77,12/23/2015 16:00,663.7,12/23/2015 16:00,84.8
12/24/2015 16:00,114.09,12/24/2015 16:00,662.79,12/24/2015 16:00,83.71
12/28/2015 16:00,113.99,12/28/2015 16:00,675.2,12/28/2015 16:00,82.14
12/29/2015 16:00,115.12,12/29/2015 16:00,693.97,12/29/2015 16:00,83.26
12/30/2015 16:00,114.36,12/30/2015 16:00,689.07,12/30/2015 16:00,81.68
12/31/2015 16:00,114.34,12/31/2015 16:00,675.89,12/31/2015 16:00,81.27
1/4/2016 16:00,109.95,1/4/2016 16:00,636.99,1/4/2016 16:00,76.69
1/5/2016 16:00,109.68,1/5/2016 16:00,633.79,1/5/2016 16:00,78.63
1/6/2016 16:00,107.33,1/6/2016 16:00,632.65,1/6/2016 16:00,77.33
1/7/2016 16:00,102.93,1/7/2016 16:00,607.94,1/7/2016 16:00,72.72
1/8/2016 16:00,101.09,1/8/2016 16:00,607.05,1/8/2016 16:00,70.8
1/11/2016 16:00,98.76,1/11/2016 16:00,617.74,1/11/2016 16:00,69.92
1/12/2016 16:00,104.85,1/12/2016 16:00,617.89,1/12/2016 16:00,72.68
1/13/2016 16:00,100.55,1/13/2016 16:00,581.81,1/13/2016 16:00,70.29
1/14/2016 16:00,104.88,1/14/2016 16:00,593,1/14/2016 16:00,72.25
1/15/2016 16:00,96.4,1/15/2016 16:00,570.18,1/15/2016 16:00,69.59
1/19/2016 16:00,96.49,1/19/2016 16:00,574.48,1/19/2016 16:00,70.13
1/20/2016 16:00,96.23,1/20/2016 16:00,571.77,1/20/2016 16:00,68.71
1/21/2016 16:00,97.5,1/21/2016 16:00,575.02,1/21/2016 16:00,70.72
1/22/2016 16:00,101.15,1/22/2016 16:00,596.38,1/22/2016 16:00,70.37
1/25/2016 16:00,100.37,1/25/2016 16:00,596.53,1/25/2016 16:00,69.72
1/26/2016 16:00,99,1/26/2016 16:00,601.25,1/26/2016 16:00,69.77
1/27/2016 16:00,97.23,1/27/2016 16:00,583.35,1/27/2016 16:00,69.54
1/28/2016 16:00,96.86,1/28/2016 16:00,635.35,1/28/2016 16:00,66.92
1/29/2016 16:00,98.24,1/29/2016 16:00,587,1/29/2016 16:00,67.03
2/1/2016 16:00,99,2/1/2016 16:00,574.81,2/1/2016 16:00,67.03
2/2/2016 16:00,96.12,2/2/2016 16:00,552.1,2/2/2016 16:00,65.09
2/3/2016 16:00,95.37,2/3/2016 16:00,531.07,2/3/2016 16:00,63.44
2/4/2016 16:00,96.64,2/4/2016 16:00,536.26,2/4/2016 16:00,64.86
2/5/2016 16:00,90.25,2/5/2016 16:00,502.13,2/5/2016 16:00,62.64
2/8/2016 16:00,85.87,2/8/2016 16:00,488.1,2/8/2016 16:00,61.1
2/9/2016 16:00,85.82,2/9/2016 16:00,482.07,2/9/2016 16:00,61.39
2/10/2016 16:00,87.71,2/10/2016 16:00,490.48,2/10/2016 16:00,61.78
2/11/2016 16:00,89.04,2/11/2016 16:00,503.82,2/11/2016 16:00,60.57
2/12/2016 16:00,91.95,2/12/2016 16:00,507.08,2/12/2016 16:00,60.89
2/16/2016 16:00,95.76,2/16/2016 16:00,521.1,2/16/2016 16:00,66.29
2/17/2016 16:00,98.24,2/17/2016 16:00,534.1,2/17/2016 16:00,66.38
2/18/2016 16:00,98.8,2/18/2016 16:00,525,2/18/2016 16:00,66.52
2/19/2016 16:00,100.48,2/19/2016 16:00,534.9,2/19/2016 16:00,67.28
2/22/2016 16:00,99.98,2/22/2016 16:00,559.5,2/22/2016 16:00,68.84
2/23/2016 16:00,98.38,2/23/2016 16:00,552.94,2/23/2016 16:00,66.97
2/24/2016 16:00,103.1,2/24/2016 16:00,554.04,2/24/2016 16:00,67.23
2/25/2016 16:00,102.56,2/25/2016 16:00,555.15,2/25/2016 16:00,66.66
2/26/2016 16:00,97.56,2/26/2016 16:00,555.23,2/26/2016 16:00,66.91
2/29/2016 16:00,101.76,2/29/2016 16:00,552.52,2/29/2016 16:00,68.81
3/1/2016 16:00,104.95,3/1/2016 16:00,579.04,3/1/2016 16:00,70.86
3/2/2016 16:00,105.91,3/2/2016 16:00,580.21,3/2/2016 16:00,71.25
3/3/2016 16:00,106.53,3/3/2016 16:00,577.49,3/3/2016 16:00,71.02
3/4/2016 16:00,108.88,3/4/2016 16:00,575.14,3/4/2016 16:00,72.22
3/7/2016 16:00,110.42,3/7/2016 16:00,562.8,3/7/2016 16:00,72.89
3/8/2016 16:00,109.01,3/8/2016 16:00,560.26,3/8/2016 16:00,71.07
3/9/2016 16:00,111.2,3/9/2016 16:00,559.47,3/9/2016 16:00,72.43
3/10/2016 16:00,113.52,3/10/2016 16:00,558.93,3/10/2016 16:00,71.97
3/11/2016 16:00,115.65,3/11/2016 16:00,569.61,3/11/2016 16:00,74.01
3/14/2016 16:00,114.94,3/14/2016 16:00,573.37,3/14/2016 16:00,73.35
